collection_title,folder_title,field,role,relative_path,flat_filename,file_size_kb,original_url,cloudflare_url_template,status
Discover,New Movies,coverImageUrl,cover,discover/new-movies/cover.png,discover__new-movies__cover.png,33.7,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/discover/new-movies/new-movies-cover.png,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/new-movies/cover.png,SUCCESS
Discover,New Movies,titleLogoUrl,logo,discover/new-movies/logo.png,discover__new-movies__logo.png,17.37,https://raw.githubusercontent.com/ImKaptain/nuvio-assets/main/TitleLogos/NEW_MOVIES_TitleLogo_v2.png,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/new-movies/logo.png,SUCCESS
Discover,New Movies,focusGifUrl,hover,discover/new-movies/hover.png,discover__new-movies__hover.png,158.54,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/discover/new-movies/new-movies-hover.png,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/new-movies/hover.png,SUCCESS
Discover,New Movies,heroBackdropUrl,backdrop,discover/new-movies/backdrop.png,discover__new-movies__backdrop.png,1653.78,https://raw.githubusercontent.com/ImKaptain/nuvio-assets/main/Trending%20_%20New/New%20Movies/New%20Movies_Background.jpg,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/new-movies/backdrop.png,SUCCESS
Discover,New Series,coverImageUrl,cover,discover/new-series/cover.png,discover__new-series__cover.png,30.96,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/discover/new-series/new-series-cover.png,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/new-series/cover.png,SUCCESS
Discover,New Series,titleLogoUrl,logo,discover/new-series/logo.png,discover__new-series__logo.png,16.47,https://raw.githubusercontent.com/ImKaptain/nuvio-assets/main/TitleLogos/NEW_SERIES_TitleLogo_v2.png,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/new-series/logo.png,SUCCESS
Discover,New Series,focusGifUrl,hover,discover/new-series/hover.png,discover__new-series__hover.png,143.93,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/discover/new-series/new-series-hover.png,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/new-series/hover.png,SUCCESS
Discover,New Series,heroBackdropUrl,backdrop,discover/new-series/backdrop.webp,discover__new-series__backdrop.webp,120.45,https://imkaptain.github.io/nuvio-assets/assets/images/6671230f.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/new-series/backdrop.webp,SUCCESS
Discover,Trending Movies,coverImageUrl,cover,discover/trending-movies/cover.png,discover__trending-movies__cover.png,42.15,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/discover/trending-movies/trending-movies-cover.png,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/trending-movies/cover.png,SUCCESS
Discover,Trending Movies,titleLogoUrl,logo,discover/trending-movies/logo.png,discover__trending-movies__logo.png,24.87,https://raw.githubusercontent.com/ImKaptain/nuvio-assets/main/TitleLogos/TRENDING_MOVIES_TitleLogo_v2.png,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/trending-movies/logo.png,SUCCESS
Discover,Trending Movies,focusGifUrl,hover,discover/trending-movies/hover.png,discover__trending-movies__hover.png,208.81,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/discover/trending-movies/trending-movies-hover.png,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/trending-movies/hover.png,SUCCESS
Discover,Trending Movies,heroBackdropUrl,backdrop,discover/trending-movies/backdrop.webp,discover__trending-movies__backdrop.webp,138.47,https://imkaptain.github.io/nuvio-assets/assets/images/1934d756.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/trending-movies/backdrop.webp,SUCCESS
Discover,Trending Series,coverImageUrl,cover,discover/trending-series/cover.png,discover__trending-series__cover.png,39.18,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/discover/trending-tv/trending-tv-cover.png,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/trending-series/cover.png,SUCCESS
Discover,Trending Series,titleLogoUrl,logo,discover/trending-series/logo.png,discover__trending-series__logo.png,18.02,https://raw.githubusercontent.com/ImKaptain/nuvio-assets/main/TitleLogos/TRENDING_TV_TitleLogo_v2.png,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/trending-series/logo.png,SUCCESS
Discover,Trending Series,focusGifUrl,hover,discover/trending-series/hover.png,discover__trending-series__hover.png,195.88,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/discover/trending-tv/trending-tv-hover.png,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/trending-series/hover.png,SUCCESS
Discover,Trending Series,heroBackdropUrl,backdrop,discover/trending-series/backdrop.webp,discover__trending-series__backdrop.webp,152.67,https://imkaptain.github.io/nuvio-assets/assets/images/1d5e1036.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/trending-series/backdrop.webp,SUCCESS
Discover,Top Streaming Movies,coverImageUrl,cover,discover/top-streaming-movies/cover.png,discover__top-streaming-movies__cover.png,60.31,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/discover/top-streaming-movies/top-streaming-movies-cover.png,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/top-streaming-movies/cover.png,SUCCESS
Discover,Top Streaming Movies,titleLogoUrl,logo,discover/top-streaming-movies/logo.png,discover__top-streaming-movies__logo.png,21.85,https://raw.githubusercontent.com/ImKaptain/nuvio-assets/main/TitleLogos/TOP_STREAMING_TitleLogo.png,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/top-streaming-movies/logo.png,SUCCESS
Discover,Top Streaming Movies,focusGifUrl,hover,discover/top-streaming-movies/hover.png,discover__top-streaming-movies__hover.png,353.76,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/discover/top-streaming-movies/top-streaming-movies-hover.gif,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/top-streaming-movies/hover.png,SUCCESS
Discover,Top Streaming Movies,heroBackdropUrl,backdrop,discover/top-streaming-movies/backdrop.jpg,discover__top-streaming-movies__backdrop.jpg,407.89,https://raw.githubusercontent.com/bramst0ne/prism-wallpapers/refs/heads/main/collections/curated/top-rated/backdrops/t2_flat_1080p.jpg,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/top-streaming-movies/backdrop.jpg,SUCCESS
Discover,Top Streaming Series,coverImageUrl,cover,discover/top-streaming-series/cover.png,discover__top-streaming-series__cover.png,60.31,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/discover/top-streaming-movies/top-streaming-movies-cover.png,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/top-streaming-series/cover.png,SUCCESS
Discover,Top Streaming Series,focusGifUrl,hover,discover/top-streaming-series/hover.png,discover__top-streaming-series__hover.png,353.76,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/discover/top-streaming-movies/top-streaming-movies-hover.gif,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/top-streaming-series/hover.png,SUCCESS
Discover,Top Streaming Series,heroBackdropUrl,backdrop,discover/top-streaming-series/backdrop.jpg,discover__top-streaming-series__backdrop.jpg,407.89,https://raw.githubusercontent.com/bramst0ne/prism-wallpapers/refs/heads/main/collections/curated/top-rated/backdrops/t2_flat_1080p.jpg,https://<YOUR_CLOUDFLARE_DOMAIN>/discover/top-streaming-series/backdrop.jpg,SUCCESS
Streaming Services,Netflix,coverImageUrl,cover,streaming-services/netflix/cover.webp,streaming-services__netflix__cover.webp,1.39,https://imkaptain.github.io/nuvio-assets/assets/images/49571953.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/streaming-services/netflix/cover.webp,SUCCESS
Streaming Services,Netflix,titleLogoUrl,logo,streaming-services/netflix/logo.png,streaming-services__netflix__logo.png,61.6,https://github.com/bramst0ne/prism-wallpapers/blob/main/collections/networks/213-netflix/logos/color/213_color_1.png?raw=true,https://<YOUR_CLOUDFLARE_DOMAIN>/streaming-services/netflix/logo.png,SUCCESS
Streaming Services,Netflix,focusGifUrl,hover,streaming-services/netflix/hover.gif,streaming-services__netflix__hover.gif,3480.03,https://64.media.tumblr.com/9f93a9fc2e02fb466eb02a7d2247cb6e/a5b604d3737fc559-49/s500x750/403804744183922f6091d48139021fc3da22f786.gifv,https://<YOUR_CLOUDFLARE_DOMAIN>/streaming-services/netflix/hover.gif,SUCCESS
Streaming Services,Netflix,heroBackdropUrl,backdrop,streaming-services/netflix/backdrop.jpg,streaming-services__netflix__backdrop.jpg,446.97,https://github.com/bramst0ne/prism-wallpapers/blob/main/collections/networks/213-netflix/backdrops/t2_flat_1080p.jpg?raw=true,https://<YOUR_CLOUDFLARE_DOMAIN>/streaming-services/netflix/backdrop.jpg,SUCCESS
Streaming Services,Apple TV+,coverImageUrl,cover,streaming-services/apple-tv-plus/cover.webp,streaming-services__apple-tv-plus__cover.webp,1.98,https://imkaptain.github.io/nuvio-assets/assets/images/4d8f0a8f.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/streaming-services/apple-tv-plus/cover.webp,SUCCESS
Streaming Services,Apple TV+,titleLogoUrl,logo,streaming-services/apple-tv-plus/logo.png,streaming-services__apple-tv-plus__logo.png,440.66,https://github.com/bramst0ne/prism-wallpapers/blob/main/collections/networks/2552-apple-tv/logos/color/2552_color_1.png?raw=true,https://<YOUR_CLOUDFLARE_DOMAIN>/streaming-services/apple-tv-plus/logo.png,SUCCESS
Streaming Services,Apple TV+,focusGifUrl,hover,streaming-services/apple-tv-plus/hover.gif,streaming-services__apple-tv-plus__hover.gif,3189.56,https://64.media.tumblr.com/d717319220a7d26bdaa88e72f6f76889/d9a7a808f588d8f4-63/s500x750/959b0ca57f53153b2ca9adaf414859e45e3734e6.gifv,https://<YOUR_CLOUDFLARE_DOMAIN>/streaming-services/apple-tv-plus/hover.gif,SUCCESS
Streaming Services,Apple TV+,heroBackdropUrl,backdrop,streaming-services/apple-tv-plus/backdrop.jpg,streaming-services__apple-tv-plus__backdrop.jpg,394.84,https://github.com/bramst0ne/prism-wallpapers/blob/main/collections/networks/2552-apple-tv/backdrops/t2_flat_1080p.jpg?raw=true,https://<YOUR_CLOUDFLARE_DOMAIN>/streaming-services/apple-tv-plus/backdrop.jpg,SUCCESS
Streaming Services,Hulu,coverImageUrl,cover,streaming-services/hulu/cover.webp,streaming-services__hulu__cover.webp,1.81,https://imkaptain.github.io/nuvio-assets/assets/images/3a4d1b46.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/streaming-services/hulu/cover.webp,SUCCESS
